================================================================
======== Log Rotated - 2026/03/23, 00:00:00                     
================================================================
[00:00:19] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:00:30] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:00:32] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:00:35] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:00:41] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:00:43] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:00:44] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:00:45] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:00:46] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:01:09] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:01:11] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:01:17] [aGhEF#2] Joshua Sprigs: spawned a vehicle (model: toros)
[00:01:18] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:01:20] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:01:22] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:01:22] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:01:23] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:01:24] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:03:56] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:04:00] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:04:01] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:04:02] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:04:06] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:04:07] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:04:08] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:04:09] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:04:12] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:04:15] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:04:55] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:11:50] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:11:58] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:12:15] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:12:33] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:12:45] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:14:10] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:14:16] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:15:31] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:15:37] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:16:11] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:16:12] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:16:14] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:16:14] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:16:15] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:18:45] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:19:02] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:19:10] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:21:48] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:21:59] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:22:28] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:22:31] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:22:41] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:26:02] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:26:13] [aGhEF#2] Joshua Sprigs: said "/-openInventory"
[00:26:18] [aGhEF#2] Joshua Sprigs: disconnected (Exiting)
[00:37:49] [aGhEF#3] Joshua Sprigs: joined with identifiers [license:7df1…5909, xbl:2535…2995, live:1055…0914, discord:5336…1534, fivem:2412049, license2:da0e…971c]
[00:38:06] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:38:11] [aGhEF#3] Joshua Sprigs: enabled noclip
[00:38:22] [aGhEF#3] Joshua Sprigs: became mortal (standard mode)
[00:38:25] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:38:39] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:50:36] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:50:38] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:50:39] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:50:45] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:50:52] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:50:57] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:51:05] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:52:21] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:52:26] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:52:31] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:54:18] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:54:34] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:54:46] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:56:20] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[00:56:45] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:00:20] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:08:49] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:08:50] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:08:52] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:10:06] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:11:08] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:11:19] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:11:32] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:11:43] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:12:08] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:12:47] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:12:54] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:13:26] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:13:31] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:13:34] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:13:40] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:14:36] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:14:51] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:14:56] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:15:05] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:15:15] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:16:50] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:17:02] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:17:13] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:20:11] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:20:21] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:20:29] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:22:54] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:23:45] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:23:46] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
